station_name,operator_name,latitude,longitude,status,failure_reason,strategy
逸安启超充站-广州中洲六元素体验中心,逸安启,23.095589,113.373006,成功,,A
捷能科韵南路充电站,小桔充电,23.092532,113.374112,失败,车端问题,A
随手充广州华新科创岛A区充电站,能银链,23.088334,113.375387,成功,,A
科灵仑头站,捷电通,23.079976,113.368599,成功,,A
海珠仑头站,法斯特,23.079866,113.368393,失败,桩端问题,A
新滘南二期充电站,捷电通,23.081631,113.353401,失败,车端问题,A
星星充电-土华充电站,星星充电,23.070912,113.353629,成功,,A
特瓦特龙腾18电子商务产业园（广州）超充站,特瓦特,23.079342,113.328875,成功,,A
合生广场（南区）充电站,万城万充,23.0854,113.31452,成功,,A
滨江海天花苑停车场电动汽车充电站,南网电动,23.101023,113.313664,成功,,A
微电快桩・广州城投（广州塔）充电站,能银链,23.105835,113.325645,成功,,A
车电网广州海珠广州塔充电站,车电网,23.106295,113.328312,成功,,A
广州城投（花城广场南区）充电站,广州城投,23.114935,113.324459,失败,车端问题,A
微电快桩・广州城投（花城广场南区）充电站,能银链,23.118462,113.324611,失败,桩端问题,A
小朗充电-广州市妇女儿童医疗中心充电站,朗新新能源,23.124706,113.319652,成功,,A
天河汇商业广场,劲桩,23.139794,113.316792,成功,,A
车电网广州天河中汇广场充电站,车电网,23.148626,113.323371,失败,桩端问题,A
名雅苑,广州发展,23.136472,113.330621,成功,,A
天河平云路智慧超充站,用电,23.122527,113.351599,成功,,A
广汽能源广州星河湾中心目的地站,广汽能源,23.100631,113.346631,失败,车端问题,A
昊铂广州磨碟沙超充站,广汽能源,23.099246,113.34688,成功,,A
小充很忙汽车充电站(欧派国际广场),蔚景云,23.099955,113.349341,成功,,A
广州供电局光储充检放一体化智能超充站,南网电动,23.101186,113.371605,成功,,A
广州地铁万胜广场充电站,小桔充电,23.096531,113.382813,成功,,A
特来电广州保利广场公共快充站,特来电,23.09875,113.383911,失败,桩端问题,A
海珠区保利叁悦A塔充电站,鹏辉智慧充电,23.10183,113.38545,失败,桩端问题,A
特来电保利发展广场充电站,特来电,23.104042,113.385806,成功,,A
东宏国际广场充电站交流区,万城万充,23.120184,113.390117,成功,,A
冠伟大厦充电站,云快充,23.121171,113.381999,成功,,A
延长壳牌广州富力天寓地下慢充站,延长壳牌(广东),23.139788,113.387885,成功,,A
星星充电-奥体超充充电站,星星充电,23.132505,113.405525,成功,,A
延长壳牌广州迎海地面快充站,延长壳牌(广东),23.120606,113.406254,成功,,A
美林M.LIVE天地西座-慢充,法斯特,23.106895,113.414032,失败,桩端问题,A
广州发展玉树工业园,广州发展,23.15646,113.432516,失败,桩端问题,A
优托邦科学城站,广州智光,23.169859,113.451373,成功,,A
广州城投（萝岗和苑）充电站,广州城投,23.189969,113.479162,成功,,A
广州宝升行汽车销售服务有限公司,安悦充电,23.156621,113.486592,成功,,A
南村广场,劲桩,23.135313,113.531837,成功,,A
充电有道黄埔时代城快充站,充电有道,23.11291,113.54303,成功,,A
文船东(双沙),劲桩,23.087782,113.482573,失败,车端问题,A
鹏辉番禺云食城产业园交流充电站,鹏辉智慧充电,23.048725,113.4416,成功,,A
鹏辉番禺云食城产业园二期充电站,鹏辉智慧充电,23.048746,113.441444,失败,桩端问题,A
大学城雅乐轩酒店充电站,万城万充,23.039989,113.405583,成功,,A
简爱公寓大学城充电站,鹏辉智慧充电,23.048454,113.37522,成功,,A
番禺誉山智创园南门充电站,珠海驿联,23.006337,113.381537,成功,,A
恒然创意园A座,乐来电,22.974877,113.386941,成功,,A
【开鑫】广州番禺东环街东沙村充电站,开鑫充,22.957794,113.362682,失败,车端问题,A
番禺区山水酒店充电站,万城万充,22.956773,113.359772,成功,,A
银辉综合楼充电站,鹏辉智慧充电,22.963792,113.347662,成功,,A
广州城投（平康公园）充电站,广州城投,22.940477,113.383683,失败,车端问题,A
bp劲桩大石晟信充电站,劲桩,23.017409,113.313461,失败,车端问题,A
华胜木制品厂充电站,用电,22.993702,113.289085,成功,,A
建和发展,科士达,23.055959,113.32686,成功,,A
微电快桩・广州城投（南洲路）充电站,能银链,23.064053,113.303231,成功,,A
广州城投（南洲路）充电站,广州城投,23.064053,113.303231,成功,,A
广州城投（南洲路）充电站,蔚景云,23.064053,113.303231,成功,,A
荔湾东沙站,兴国新能源,23.064483,113.259985,成功,,A
芳村菊树交流充电站,绿箭新能源,23.063738,113.211877,成功,,A
港口中心,昆仑网电,23.115726,113.285416,成功,,A
羊充大金钟路600KW超充站,广州羊充,23.1685,113.275,成功,,A
延长壳牌广州上步地面快充站,延长壳牌(广东),23.172014,113.234484,成功,,A
华盈国际大厦充电桩,华盈充电,23.156103,113.226333,成功,,A
浔峰岗停车场,一码YiMa,23.16,113.2,成功,,A
金国广场充电站二期,万城万充,23.204483,113.254086,失败,车端问题,A
广汽能源广州白云泓泰广场超充站,广汽能源,23.245222,113.256489,成功,,A
魔方新能源充电站,宏意新能源,23.27244,113.33792,成功,,A
新百佳充电站,恒宏（广州）,23.180163,113.33519,成功,,A
黑牛新经济产业园二期,云快充,23.179304,113.358021,成功,,A
广州天河佳都智慧大厦充电站,宁波均胜,23.164779,113.405528,成功,,A
广州发展瑞士酒店充电站,广州发展,23.167966,113.411843,成功,,A
广州龙湖双珑原著轻充站,极氪能源,23.317322,113.542535,成功,,A
维杰斯通充电站-慢充,劲桩,23.381361,113.504128,成功,,A
广州长大展示中心极充站,极氪能源,23.370829,113.238974,失败,桩端问题,A
逸安启超充站-广州中洲六元素体验中心,逸安启,23.095589,113.373006,失败,车端问题,B
捷能科韵南路充电站,小桔充电,23.092532,113.374112,成功,,B
随手充广州华新科创岛A区充电站,能银链,23.088334,113.375387,失败,车端问题,B
海珠仑头站,法斯特,23.079866,113.368393,成功,,B
新滘南二期充电站,捷电通,23.081631,113.353401,失败,桩端问题,B
星星充电-土华充电站,星星充电,23.070912,113.353629,失败,桩端问题,B
特瓦特龙腾18电子商务产业园（广州）超充站,特瓦特,23.079342,113.328875,成功,,B
建和发展,科士达,23.055959,113.32686,成功,,B
简爱公寓大学城充电站,鹏辉智慧充电,23.048454,113.37522,成功,,B
大学城雅乐轩酒店充电站,万城万充,23.039989,113.405583,成功,,B
番禺誉山智创园南门充电站,珠海驿联,23.006337,113.381537,成功,,B
天光地合新水坑充电站,天光地合,22.97861,113.392209,成功,,B
恒然创意园A座,乐来电,22.974877,113.386941,失败,车端问题,B
【开鑫】广州番禺东环街东沙村充电站,开鑫充,22.957794,113.362682,失败,桩端问题,B
广州城投（平康公园）充电站,广州城投,22.940477,113.383683,成功,,B
金牛座卫星超能舱（广州南站万科中心）,太空充电,22.984627,113.280657,成功,,B
荔湾东沙站,兴国新能源,23.064483,113.259985,成功,,B
芳村菊树交流充电站,绿箭新能源,23.063738,113.211877,成功,,B
港口中心,昆仑网电,23.115726,113.285416,成功,,B
滨江海天花苑停车场电动汽车充电站,南网电动,23.101023,113.313664,成功,,B
小朗充电-广州市妇女儿童医疗中心充电站,朗新新能源,23.124706,113.319652,成功,,B
天河汇商业广场,劲桩,23.139794,113.316792,失败,车端问题,B
车电网广州天河中汇广场充电站,车电网,23.148626,113.323371,失败,车端问题,B
新百佳充电站,恒宏（广州）,23.180163,113.33519,失败,桩端问题,B
羊充大金钟路600KW超充站,广州羊充,23.1685,113.275,失败,桩端问题,B
华盈国际大厦充电桩,华盈充电,23.156103,113.226333,成功,,B
浔峰岗停车场,一码YiMa,23.16,113.2,成功,,B
天河平云路智慧超充站,用电,23.122527,113.351599,失败,桩端问题,B
小充很忙汽车充电站(欧派国际广场),蔚景云,23.099955,113.349341,成功,,B
昊铂广州磨碟沙超充站,广汽能源,23.099246,113.34688,成功,,B
特来电广州保利广场公共快充站,特来电,23.09875,113.383911,失败,车端问题,B
冠伟大厦充电站,云快充,23.121171,113.381999,失败,车端问题,B
延长壳牌广州迎海地面快充站,延长壳牌(广东),23.120606,113.406254,成功,,B
广州天河佳都智慧大厦充电站,宁波均胜,23.164779,113.405528,成功,,B
广州发展瑞士酒店充电站,广州发展,23.167966,113.411843,失败,车端问题,B
优托邦科学城站,广州智光,23.169859,113.451373,成功,,B
广州宝升行汽车销售服务有限公司,安悦充电,23.156621,113.486592,失败,桩端问题,B
充电有道黄埔时代城快充站,充电有道,23.11291,113.54303,成功,,B
广州龙湖双珑原著轻充站,极氪能源,23.317322,113.542535,成功,,B
魔方新能源充电站,宏意新能源,23.27244,113.33792,成功,,B
南岭工业园站,66快充,23.270575,113.305052,成功,,B
广州秀水服务站,地上铁,23.308606,113.303299,成功,,B
